part_number,description,color_code,color_name,quantity,image_file
3666,Plate 1 x 6,26,Magenta,4,3666_Magenta.png
3673,Technic Pin,7,Light Gray,12,3673_Light_Gray.png
3678b,Slope Brick 65 2 x 2 x 2 with Centre Tube,7,Light Gray,4,3678b_Light_Gray.png
3679,Turntable 2 x 2 Plate Top,7,Light Gray,2,3679_Light_Gray.png
3680,Turntable 2 x 2 Plate Base,15,White,2,3680_White.png
3700,Technic Brick 1 x 2 with Hole,1,Blue,8,3700_Blue.png
3700,Technic Brick 1 x 2 with Hole,15,White,4,3700_White.png
3701,Technic Brick 1 x 4 with Holes,1,Blue,12,3701_Blue.png
3701,Technic Brick 1 x 4 with Holes,7,Light Gray,4,3701_Light_Gray.png
3701,Technic Brick 1 x 4 with Holes,15,White,3,3701_White.png
3702,Technic Brick 1 x 8 with Holes,1,Blue,2,3702_Blue.png
3702,Technic Brick 1 x 8 with Holes,15,White,6,3702_White.png
3705,Technic Axle 4,0,Black,14,3705_Black.png
3706,Technic Axle 6,0,Black,6,3706_Black.png
3707,Technic Axle 8,0,Black,2,3707_Black.png
3709b,Technic Plate 2 x 4 with Holes,1,Blue,2,3709b_Blue.png
3710,Plate 1 x 4,0,Black,13,3710_Black.png
3710,Plate 1 x 4,1,Blue,90,3710_Blue.png
3710,Plate 1 x 4,4,Red,32,3710_Red.png
3710,Plate 1 x 4,7,Light Gray,11,3710_Light_Gray.png
3710,Plate 1 x 4,14,Yellow,32,3710_Yellow.png
3710,Plate 1 x 4,15,White,14,3710_White.png
3713,Technic Bush with Two Flanges,7,Light Gray,14,3713_Light_Gray.png
3737,Technic Axle 10,0,Black,2,3737_Black.png
3747b,Slope Brick 33 3 x 2 Inverted with Ribs between Studs,1,Blue,4,3747b_Blue.png
3749,Technic Axle Pin,19,Tan,6,3749_Tan.png
3795,Plate 2 x 6,0,Black,4,3795_Black.png
3795,Plate 2 x 6,1,Blue,29,3795_Blue.png
3795,Plate 2 x 6,4,Red,9,3795_Red.png
3795,Plate 2 x 6,7,Light Gray,108,3795_Light_Gray.png
3795,Plate 2 x 6,14,Yellow,43,3795_Yellow.png
3795,Plate 2 x 6,15,White,26,3795_White.png
3795,Plate 2 x 6,19,Tan,2,3795_Tan.png
3795,Plate 2 x 6,25,Orange,19,3795_Orange.png
3821,Door 1 x 3 x 1 Right,1,Blue,3,3821_Blue.png
3822,Door 1 x 3 x 1 Left,1,Blue,3,3822_Blue.png
3823,Windscreen 2 x 4 x 2,47,Trans Clear,6,3823_Trans_Clear.png
3828,Car Steering Wheel,0,Black,3,3828_Black.png
3829a,Car Steering Wheel Stand,15,White,3,3829a_White.png
3894,Technic Brick 1 x 6 with Holes,1,Blue,3,3894_Blue.png
