Part,Description,Color ID,Color Name,Couleur RGB,Quantity,BrickLink URL,Found
6636,Tile 1 x 6,4,Red,#B40000,13,https://davidlilien.github.io/images_giant_booster/image-014-257_1753130823.jpg,0
6636,Tile 1 x 6,14,Yellow,#FAC80A,1,https://davidlilien.github.io/images_giant_booster/image-014-258_1753130823.jpg,0
76019,Technic Gear 24 Tooth Clutch with DkGray Center,0,Black,#1B2A34,4,https://davidlilien.github.io/images_giant_booster/image-014-259_1753130823.jpg,0
85984,Slope Brick 31 1 x 2 x 0.667,4,Red,#B40000,4,https://davidlilien.github.io/images_giant_booster/image-014-260_1753130823.jpg,0
85984,Slope Brick 31 1 x 2 x 0.667,14,Yellow,#FAC80A,4,https://davidlilien.github.io/images_giant_booster/image-014-261_1753130823.jpg,0
85984,Slope Brick 31 1 x 2 x 0.667,14,Yellow,#FAC80A,3,https://davidlilien.github.io/images_giant_booster/image-014-262_1753130823.jpg,0
87079,Tile 2 x 4 with Groove,8,Dark Grey,#6D6E68,7,https://davidlilien.github.io/images_giant_booster/image-014-263_1753130823.jpg,0
87083,Technic Axle 4 with Stop,0,Black,#1B2A34,4,https://davidlilien.github.io/images_giant_booster/image-014-264_1753130823.jpg,0
93273,Slope Brick Curved 4 x 1 Double,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-014-265_1753130823.jpg,0
93273,Slope Brick Curved 4 x 1 Double,4,Red,#B40000,2,https://davidlilien.github.io/images_giant_booster/image-015-266_1753130823.jpg,0
98138,Tile 1 x 1 Round with Groove,36,Trans Red,#FF0000,1,https://davidlilien.github.io/images_giant_booster/image-015-267_1753130823.jpg,0
98263,Plate 1 x 4 with Socket Joint-8 Square,7,Light Grey,#A0A5A9,1,https://davidlilien.github.io/images_giant_booster/image-015-268_1753130823.jpg,0
99499,Electric Power Functions Large Motor,7,Light Grey,#A0A5A9,6,https://davidlilien.github.io/images_giant_booster/image-015-269_1753130823.jpg,0
99780,Bracket 1 x 2 - 1 x 2 Up,14,Yellow,#FAC80A,3,https://davidlilien.github.io/images_giant_booster/image-015-270_1753130823.jpg,0
99780,Bracket 1 x 2 - 1 x 2 Up,15,White,#FFFFFF,,https://davidlilien.github.io/images_giant_booster/image-015-271_1753130823.jpg,0
